row,col,Q_N,Q_E,Q_S,Q_W,V,best_a_idx
1,1,0.6984075903892517,0.5922996401786804,0.6056254506111145,0.6383630633354187,0.6984075903892517,0
1,2,0.6238673329353333,0.5894806385040283,0.5731523633003235,0.6202701330184937,0.6238673329353333,0
1,3,0.6604067087173462,0.4232448935508728,0.5669680833816528,0.5962987542152405,0.6604067087173462,0
1,4,-0.8956366181373596,-0.8087348341941833,0.33588141202926636,-0.11058443784713745,0.33588141202926636,2
2,1,0.7769039273262024,0.7068070769309998,0.6367794275283813,0.7065799832344055,0.7769039273262024,0
2,2,,,,,,-1
2,3,0.7278147339820862,-0.9945433139801025,0.5653513669967651,0.6892088651657104,0.7278147339820862,0
2,4,0.5610926151275635,0.261600136756897,0.47425565123558044,0.4998949468135834,0.5610926151275635,0
3,1,0.8182515501976013,0.8536015152931213,0.7072461843490601,0.7476521730422974,0.8536015152931213,1
3,2,0.8772994875907898,0.9231184720993042,0.8424773216247559,0.7954699993133545,0.9231184720993042,1
3,3,0.934452474117279,0.9662315249443054,0.7098273038864136,0.842954695224762,0.9662315249443054,1
3,4,0.744110643863678,0.7314239740371704,0.6453860998153687,0.6858445405960083,0.744110643863678,0
