#{"t_start": 1764351586.2041206, "env_id": "c4bd738f48c6788b43c9efaad90225f4-v0"}
r,l,t
5.036202,1000,0.648668
88.366487,1000,1.327455
74.970068,1000,2.021666
40.997095,1000,2.611564
199.375635,1000,3.089335
90.687093,1000,3.570451
73.105855,1000,4.064199
68.688568,1000,4.554525
142.907762,1000,5.051636
123.103759,1000,5.537189
102.958316,1000,6.014799
123.193826,1000,6.493859
193.162334,1000,7.067997
56.838954,1000,7.716676
190.292752,1000,8.211249
78.575636,1000,8.88536
158.570368,1000,9.551738
110.893085,1000,10.213231
41.256732,1000,10.690382
142.787607,1000,11.17463
78.813085,1000,11.654705
125.922101,1000,12.044027
60.122503,1000,12.534983
42.617272,1000,13.126119
82.173328,1000,13.614503
34.233307,1000,14.10017
106.850851,1000,14.592692
69.688984,1000,15.099566
115.442874,1000,15.59492
156.838937,1000,16.080006
73.528588,1000,16.674315
184.559466,1000,17.165601
144.991306,1000,17.659514
44.375365,1000,18.153492
116.872174,1000,18.644612
97.455995,1000,19.140384
67.501247,1000,19.642003
65.582345,1000,20.142669
40.046771,1000,20.862237
57.102442,1000,21.552562
53.533161,1000,22.048107
57.849954,1000,22.542029
128.66546,1000,22.948633
210.945038,1000,23.550889
134.095504,1000,24.034231
89.368449,1000,24.526016
66.879805,1000,25.026547
182.634056,1000,25.518001
183.606636,1000,26.002253
81.319008,1000,26.493646
235.915544,1000,27.096887
65.438477,1000,27.590534
62.192159,1000,28.085549
25.255911,1000,28.581413
14.685636,1000,29.074517
40.005158,1000,29.57722
42.271768,1000,30.201401
46.242308,1000,30.90442
22.052146,1000,31.61769
44.673918,1000,32.337198
33.775676,1000,33.030711
30.180232,1000,33.706479
52.331424,1000,34.284784
28.703336,1000,34.69073
66.882813,1000,35.195667
176.437315,1000,35.692341
51.259304,1000,36.19334
28.840275,1000,36.695486
26.646955,1000,37.197342
25.255204,1000,37.695746
58.832084,1000,38.197362
21.705499,1000,38.694312
11.454523,1000,39.195815
64.64066,1000,39.692705
54.656,1000,40.196803
175.935057,1000,40.694164
99.145077,1000,41.22089
100.01485,1000,41.730227
231.682459,1000,42.227565
93.386191,1000,42.727739
191.167467,1000,43.226084
136.145766,1000,43.723263
117.983343,1000,44.216331
258.119347,1000,44.717668
103.277315,1000,45.216563
34.599681,1000,45.615272
147.181099,1000,46.104724
131.917684,1000,46.594826
105.009369,1000,47.084203
116.287381,1000,47.571977
57.359973,1000,48.063179
124.802943,1000,48.558072
31.476394,1000,49.059563
157.489076,1000,49.56333
74.307006,1000,50.06339
142.056128,1000,50.562022
156.658922,1000,51.058985
38.921629,1000,51.560833
121.896899,1000,52.064647
143.403954,1000,52.562137
120.757892,1000,53.059166
82.136011,1000,53.664171
175.793073,1000,54.158255
127.422207,1000,54.76296
157.429773,1000,55.367479
171.259329,1000,55.853526
58.614294,1000,56.262718
94.745379,1000,56.75236
26.912602,1000,57.238678
65.062378,1000,57.730505
193.202543,1000,58.217169
141.430871,1000,58.699444
234.42944,1000,59.188268
208.882807,1000,59.673003
48.507569,1000,60.162802
113.977701,1000,60.656472
60.974165,1000,61.142779
